taxonID,vernacularName,language
riparias-target-list:taxon:dafe31f90689d987cca186122e881b51,floating pennywort,en
riparias-target-list:taxon:dafe31f90689d987cca186122e881b51,grote waternavel,nl
riparias-target-list:taxon:dafe31f90689d987cca186122e881b51,Hydrocotyle fausse-renoncule,fr
riparias-target-list:taxon:54838cb38e1f9cecfe059593e32123e6,water-primrose,en
riparias-target-list:taxon:54838cb38e1f9cecfe059593e32123e6,waterteunisbloem,nl
riparias-target-list:taxon:54838cb38e1f9cecfe059593e32123e6,jussie à grandes fleurs,fr
riparias-target-list:taxon:2854a8568656c31c950b2ee198a4aaf2,floating primrose-willow,en
riparias-target-list:taxon:2854a8568656c31c950b2ee198a4aaf2,kleine waterteunisbloem,nl
riparias-target-list:taxon:2854a8568656c31c950b2ee198a4aaf2,Jussie rampante,fr
riparias-target-list:taxon:98fb8615055cc6d6e58dd5bba656f594,parrot's feather,en
riparias-target-list:taxon:98fb8615055cc6d6e58dd5bba656f594,parelvederkruid,nl
riparias-target-list:taxon:98fb8615055cc6d6e58dd5bba656f594,Myriophylle du Brésil,fr
riparias-target-list:taxon:701d040f80f720a60634ede2d563c8cc,broadleaf watermilfoil,en
riparias-target-list:taxon:701d040f80f720a60634ede2d563c8cc,ongelijkbladig vederkruid,nl
riparias-target-list:taxon:701d040f80f720a60634ede2d563c8cc,Myriophylle hétérophylle,fr
riparias-target-list:taxon:0c23faf898d4a38a958864dd9722f92d,curly waterweed,en
riparias-target-list:taxon:0c23faf898d4a38a958864dd9722f92d,verspreidbladige waterpest,nl
riparias-target-list:taxon:0c23faf898d4a38a958864dd9722f92d,elodée à feuilles alternes,fr
riparias-target-list:taxon:4612ba981762e7729ee775ea0f9fb57a,fanwort,en
riparias-target-list:taxon:4612ba981762e7729ee775ea0f9fb57a,waterwaaier,nl
riparias-target-list:taxon:4612ba981762e7729ee775ea0f9fb57a,Cabomba,fr
riparias-target-list:taxon:6fb43445cb41bab620b5365d614d46b2,giant hogweed,en
riparias-target-list:taxon:6fb43445cb41bab620b5365d614d46b2,reuzenberenklauw,nl
riparias-target-list:taxon:6fb43445cb41bab620b5365d614d46b2,Berce du Caucase,fr
riparias-target-list:taxon:aaa4bf314e99f24d73599f0608e6602a,Persian hogweed,en
riparias-target-list:taxon:aaa4bf314e99f24d73599f0608e6602a,Perzische berenklauw,nl
riparias-target-list:taxon:aaa4bf314e99f24d73599f0608e6602a,Berce de Perse,fr
riparias-target-list:taxon:00bf4bcd0509e25730f73ad66bc82c2e,Sosnowsky's hogweed,en
riparias-target-list:taxon:00bf4bcd0509e25730f73ad66bc82c2e,Sosnowsky's berenklauw,nl
riparias-target-list:taxon:00bf4bcd0509e25730f73ad66bc82c2e,Berce de Sosnowsky,fr
riparias-target-list:taxon:bbf57991e39ed609b78e5d565d54e791,Himalayan balsam,en
riparias-target-list:taxon:bbf57991e39ed609b78e5d565d54e791,reuzenbalsemien,nl
riparias-target-list:taxon:bbf57991e39ed609b78e5d565d54e791,Balsamine de l'Himalaya,fr
riparias-target-list:taxon:650cb9d46fed5e32a25b73c0c8d01f0e,Himalayan knotweed,en
riparias-target-list:taxon:650cb9d46fed5e32a25b73c0c8d01f0e,Afghaanse duizendknoop,nl
riparias-target-list:taxon:650cb9d46fed5e32a25b73c0c8d01f0e,Renouée à nombreux épis,fr
riparias-target-list:taxon:eebfdcf8e4d628954189e69240723ab7,American skunk cabbage,en
riparias-target-list:taxon:eebfdcf8e4d628954189e69240723ab7,moerasaronskelk,nl
riparias-target-list:taxon:eebfdcf8e4d628954189e69240723ab7,Faux arum,fr
riparias-target-list:taxon:ad6ef633d9bc18930d8894c8e33e9f3a,red swamp crayfish,en
riparias-target-list:taxon:ad6ef633d9bc18930d8894c8e33e9f3a,rode Amerikaanse rivierkreeft,nl
riparias-target-list:taxon:ad6ef633d9bc18930d8894c8e33e9f3a,Écrevisse de Louisiane,fr
riparias-target-list:taxon:0ee766ce27cceadb968c628051a173e6,virile crayfish,en
riparias-target-list:taxon:0ee766ce27cceadb968c628051a173e6,geknobbelde Amerikaanse rivierkreeft,nl
riparias-target-list:taxon:0ee766ce27cceadb968c628051a173e6,Écrevisse à pinces bleues,fr
riparias-target-list:taxon:45879ab97f046fe2fb75fa4d9ab54665,rusty crayfish,en
riparias-target-list:taxon:45879ab97f046fe2fb75fa4d9ab54665,roestbruine Amerikaanse rivierkreeft,nl
riparias-target-list:taxon:45879ab97f046fe2fb75fa4d9ab54665,Écrevisse à taches rouges,fr
riparias-target-list:taxon:de7320ca63664be077e4cc666cef44d1,marbled crayfish,en
riparias-target-list:taxon:de7320ca63664be077e4cc666cef44d1,marmerkreeft,nl
riparias-target-list:taxon:de7320ca63664be077e4cc666cef44d1,Écrevisse marbrée,fr
riparias-target-list:taxon:9cb6039b5c56d1d4a61ff6a409bc7671,greater pondweed,en
riparias-target-list:taxon:9cb6039b5c56d1d4a61ff6a409bc7671,Egeria,nl
riparias-target-list:taxon:9cb6039b5c56d1d4a61ff6a409bc7671,Élodée dense,fr
riparias-target-list:taxon:daa459bc1f06497b4c7204e046b13c01,Cape-pondweed,en
riparias-target-list:taxon:daa459bc1f06497b4c7204e046b13c01,water hawthorn,en
riparias-target-list:taxon:daa459bc1f06497b4c7204e046b13c01,Kaapse waterlelie,nl
riparias-target-list:taxon:daa459bc1f06497b4c7204e046b13c01,Vanille d'eau,fr
riparias-target-list:taxon:daa459bc1f06497b4c7204e046b13c01,Aponogéton odorant,fr
riparias-target-list:taxon:7b843a153385f2dd615bb0fbbd3275b0,pickerelweed,en
